commit_date,gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut,French Name,Original English Name,Names Match
2025-11-17T22:33:14Z,3556,Canada Research Chairs,Chaires de recherche du Canada,Canada Research Chairs,Chaires de recherche du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3555,Canada Firearms Centre,Centre des armes à feu Canada,Canada Firearms Centre,Centre des armes à feu Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3554,Canada Aviation and Space Museum,Musée de l'aviation et de l'espace du Canada,Canada Aviation and Space Museum,Musée de l'aviation et de l'espace du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3577,Leader of the Government in the House of Commons,Leader du gouvernement à la Chambre des communes,Leader of the Government in the House of Commons,Leader du gouvernement à la Chambre des communes,,,,,,,,,a,,
2025-11-17T22:33:14Z,3579,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,,,,,,,,,a,,
2025-11-17T22:33:14Z,3498,Sport Dispute Resolution Centre of Canada,Centre de règlement des différends sportifs du Canada,Sport Dispute Resolution Centre of Canada,Centre de règlement des différends sportifs du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3580,National Seniors Council,Conseil national des aînés,National Seniors Council,Conseil national des aînés,,,,,,,,,a,,
2025-11-17T22:33:14Z,3605,Geological Survey of Canada,Commission géologique du Canada,Geological Survey of Canada,Commission géologique du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3603,Environmental Protection Tribunal of Canada,Tribunal de la protection de I'environnement du Canada,Environmental Protection Tribunal of Canada,Tribunal de la protection de I'environnement du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3602,Canadian Museum of Contemporary Photography,Musée canadien de la photographie contemporaine,Canadian Museum of Contemporary Photography,Musée canadien de la photographie contemporaine,,,,,,,,,a,,
2025-11-17T22:33:14Z,3601,Canada Centre for Inland Waters,Centre canadien des eaux intérieures,Canada Centre for Inland Waters,Centre canadien des eaux intérieures,,,,,,,,,a,,
2025-11-17T22:33:14Z,3600,"Appeal Board, Hazardous Materials Information Review Act","Commission d'appel, Loi sur le contrôle des renseignements relatifs aux matières dangereuses","Appeal Board, Hazardous Materials Information Review Act","Commission d'appel, Loi sur le contrôle des renseignements relatifs aux matières dangereuses",,,,,,,,,a,,
2025-11-17T22:33:14Z,3599,Aboriginal Business Canada,Entreprise autochtone Canada,Aboriginal Business Canada,Entreprise autochtone Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3596,Virtual Museum of Canada,Musée virtuel du Canada,Virtual Museum of Canada,Musée virtuel du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3595,Office of the Veterans' Ombudsman,Bureau de l'ombud des vétérans,Office of the Veterans' Ombudsman,Bureau de l'ombud des vétérans,,,Veterans Affairs Canada,Veterans Affairs Canada,Anciens Combattants Canada,,,,a,,
2025-11-17T22:33:14Z,3594,Office of the Taxpayers' Ombudsperson,Bureau de l'ombudsman des contribuables,Office of the Taxpayers' Ombudsperson,Bureau de l'ombudsman des contribuables,,,Canada Revenue Agency,Canada Revenue Agency,Agence du revenu du Canada,,,,a,,
2025-11-17T22:33:14Z,3593,Tax Court of Canada,Cour canadienne de l'impôt,Tax Court of Canada,Cour canadienne de l'impôt,,,,,,,,,a,,
2025-11-17T22:33:14Z,3591,Service Canada,Service Canada,Service Canada,Service Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3590,Royal Military College of Canada,Collège militaire royal du Canada,Royal Military College of Canada,Collège militaire royal du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3589,Royal Canadian Navy,Marine royale canadienne,Royal Canadian Navy,Marine royale canadienne,,,,,,,,,a,,
2025-11-17T22:33:14Z,3588,Royal Canadian Air Force,Aviation royale canadienne,Royal Canadian Air Force,Aviation royale canadienne,,,,,,,,,a,,
2025-11-17T22:33:14Z,3587,Public Servants Disclosure Protection Tribunal Canada,Tribunal de la protection des fonctionnaires divulgateurs Canada,Public Servants Disclosure Protection Tribunal Canada,Tribunal de la protection des fonctionnaires divulgateurs Canada,,,Privy Council Office,Privy Council Office,Bureau du Conseil privé,,,,a,,
2025-11-17T22:33:14Z,3586,Prime Minister of Canada,Premier ministre du Canada,Prime Minister of Canada,Premier ministre du Canada,,,Privy Council Office,Privy Council Office,Bureau du Conseil privé,,,,a,,
2025-11-17T22:33:14Z,3585,Office of the Procurement Ombudsman,Bureau de l'ombudsman de l'approvisionnement,Office of the Procurement Ombudsman,Bureau de l'ombudsman de l'approvisionnement,,,Public Services and Procurement Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,,,,a,,
2025-11-17T22:33:14Z,3584,Parliament of Canada,Parlement du Canada,Parliament of Canada,Parlement du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3583,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces,Bureau de l'ombudsman de la Défense nationale et des Forces armées canadiennes,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces,Bureau de l'ombudsman de la Défense nationale et des Forces armées canadiennes,,,,,,,,,a,,
2025-11-17T22:33:14Z,3582,Office of the Chief Military Judge,Le cabinet du juge militaire en chef,Office of the Chief Military Judge,Le cabinet du juge militaire en chef,,,,,,,,,a,,
2025-11-17T22:33:14Z,3581,Occupational Health and Safety Tribunal Canada,Tribunal de santé et sécurité au travail Canada,Occupational Health and Safety Tribunal Canada,Tribunal de santé et sécurité au travail Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3553,Canada Agriculture and Food Museum,Musée de l'agriculture et de l'alimentation du Canada,Canada Agriculture and Food Museum,Musée de l'agriculture et de l'alimentation du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3552,Bank of Canada Museum,Musée de la Banque du Canada,Bank of Canada Museum,Musée de la Banque du Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3549,Public Service Superannuation,Pension de retraite de la fonction publique,Public Service Superannuation,Pension de retraite de la fonction publique,,,,,,,,,a,,
2025-11-17T22:33:14Z,3548,Payroll System General Ledger,Grand livre général du système de la paye,Payroll System General Ledger,Grand livre général du système de la paye,,,,,,,,,a,,
2025-11-17T22:33:14Z,3521,Canadian International Grains Institute,Institut international du Canada pour le grain,Canadian International Grains Institute,Institut international du Canada pour le grain,,,,,,,,,d,,
2025-11-17T22:33:14Z,3520,Canadian Foundation for Climate and Atmospheric Sciences,Fondation canadienne pour les sciences du climat et de l'atmosphère,Canadian Foundation for Climate and Atmospheric Sciences,Fondation canadienne pour les sciences du climat et de l'atmosphère,,,,,,,,,d,,
2025-11-17T22:33:14Z,3519,Canada Commonwealth Legacy Fund,Fonds du legs des Jeux du Commonwealth,Canada Commonwealth Legacy Fund,Fonds du legs des Jeux du Commonwealth,,,,,,,,,d,,
2025-11-17T22:33:14Z,3518,Aboriginal Healing Foundation,Fondation autochtone de guérison,Aboriginal Healing Foundation,Fondation autochtone de guérison,,,,,,,,,d,,
2025-11-17T22:33:14Z,3517,Healthcare Excellence Canada (HEC),Excellence en santé Canada (ESC),Healthcare Excellence Canada (HEC),Excellence en santé Canada (ESC),,,,,,,,,a,,
2025-11-17T22:33:14Z,3516,Canadian Foundation for Healthcare Improvement (CFHI),Fondation canadienne pour l'amélioration des services de santé (FCASS),Canadian Foundation for Healthcare Improvement (CFHI),Fondation canadienne pour l'amélioration des services de santé (FCASS),,,,,,,,,d,,
2025-11-17T22:33:14Z,3515,Winnipeg Airports Authority Inc.,Winnipeg Airports Authority Inc.,Winnipeg Airports Authority Inc.,Winnipeg Airports Authority Inc.,,,,,,,,,a,,
2025-11-17T22:33:14Z,3514,Windsor Port Authority,Administration portuaire de Windsor,Windsor Port Authority,Administration portuaire de Windsor,,,,,,,,,a,,
2025-11-17T22:33:14Z,3513,Wildlife Habitat Canada,Habitat faunique Canada,Wildlife Habitat Canada,Habitat faunique Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3512,Waterfront Toronto,Waterfront Toronto,Waterfront Toronto,Waterfront Toronto,,,,,,,,,a,,
2025-11-17T22:33:14Z,3511,Victoria Airport Authority,Autorité aéroportuaire de Victoria,Victoria Airport Authority,Autorité aéroportuaire de Victoria,,,,,,,,,a,,
2025-11-17T22:33:14Z,3510,Vancouver International Airport Authority,Administration de l'Aéroport de Vancouver,Vancouver International Airport Authority,Administration de l'Aéroport de Vancouver,,,,,,,,,a,,
2025-11-17T22:33:14Z,3509,Vancouver Fraser Port Authority,Administration portuaire de Vancouver Fraser,Vancouver Fraser Port Authority,Administration portuaire de Vancouver Fraser,,,,,,,,,a,,
2025-11-17T22:33:14Z,3508,TV5 Québec Canada,TV5 Québec Canada,TV5 Québec Canada,TV5 Québec Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3507,Trois-Rivières Port Authority,Administration portuaire de Trois-Rivières,Trois-Rivières Port Authority,Administration portuaire de Trois-Rivières,,,,,,,,,a,,
2025-11-17T22:33:14Z,3506,Toronto Port Authority,Administration portuaire de Toronto,Toronto Port Authority,Administration portuaire de Toronto,,,,,,,,,a,,
2025-11-17T22:33:14Z,3504,Thunder Bay Port Authority,Administration portuaire de Thunder Bay,Thunder Bay Port Authority,Administration portuaire de Thunder Bay,,,,,,,,,a,,
2025-11-17T22:33:14Z,3503,Thunder Bay International Airports Authority Inc.,Thunder Bay International Airports Authority Inc.,Thunder Bay International Airports Authority Inc.,Thunder Bay International Airports Authority Inc.,,,,,,,,,a,,
2025-11-17T22:33:14Z,3502,Terry Fox Humanitarian Award Inc.,Prix humanitaire Terry Fox inc.,Terry Fox Humanitarian Award Inc.,Prix humanitaire Terry Fox inc.,,,,,,,,,a,,
2025-11-17T22:33:14Z,3501,St. Lawrence Seaway Management Corporation,Corporation de gestion de la Voie maritime du Saint-Laurent,St. Lawrence Seaway Management Corporation,Corporation de gestion de la Voie maritime du Saint-Laurent,,,,,,,,,a,,
2025-11-17T22:33:14Z,3500,St. John's Port Authority,Administration portuaire de St. John's,St. John's Port Authority,Administration portuaire de St. John's,,,,,,,,,a,,
2025-11-17T22:33:14Z,3522,"Canadian Wheat Board, The","Commission canadienne du blé, La","Canadian Wheat Board, The","Commission canadienne du blé, La",,,,,,,,,d,,
2025-11-17T22:33:14Z,3523,Centre national multisport-Montréal,Centre national multisport – Montréal,Centre national multisport-Montréal,Centre national multisport – Montréal,,,,,,,,,d,,
2025-11-17T22:33:14Z,3524,First Nations Financial Management Board,Conseil de gestion financière des premières nations,First Nations Financial Management Board,Conseil de gestion financière des premières nations,,,,,,,,,d,,
2025-11-17T22:33:14Z,3538,Canadian Pari-Mutuel Agency,Agence canadienne du pari mutuel,Canadian Pari-Mutuel Agency,Agence canadienne du pari mutuel,,,Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,,,,a,,
2025-11-17T22:33:14Z,3547,Passport Canada,Passeport Canada,Passport Canada,Passeport Canada,,,,,,,,,t,,
2025-11-17T22:33:14Z,3546,Industrial Technologies Office,Office des technologies industrielles,Industrial Technologies Office,Office des technologies industrielles,,,"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",,,,t,,
2025-11-17T22:33:14Z,3545,Consulting and Audit Canada Revolving Fund,Fonds renouvelable de Conseils et Vérification Canada,Consulting and Audit Canada Revolving Fund,Fonds renouvelable de Conseils et Vérification Canada,,,,,,,,,d,,
2025-11-17T22:33:14Z,3544,Translation Bureau,Bureau de la traduction,Translation Bureau,Bureau de la traduction,,,Public Services and Procurement Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,,,,a,,
2025-11-17T22:33:14Z,3543,Physical Resources Bureau,Direction générale des biens,Physical Resources Bureau,Direction générale des biens,,,,,,,,,a,,
2025-11-17T22:33:14Z,3542,Measurement Canada,Mesures Canada,Measurement Canada,Mesures Canada,,,"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",,,,a,,
2025-11-17T22:33:14Z,3541,Indian Oil and Gas Canada,Pétrole et gaz des Indiens du Canada,Indian Oil and Gas Canada,Pétrole et gaz des Indiens du Canada,,,Crown-Indigenous Relations and Northern Affairs Canada,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,,,5,a,Pétrole et gaz des Indiens Canada,Indian Oil and Gas Canada
2025-11-17T22:33:14Z,3540,Defence Research and Development Canada,Recherche et développement pour la défense Canada,Defence Research and Development Canada,Recherche et développement pour la défense Canada,,,National Defence,National Defence,Défense nationale,,,,a,,
2025-11-17T22:33:14Z,3539,CORCAN,CORCAN,CORCAN,CORCAN,,,Public Safety Canada,Public Safety Canada,Sécurité publique Canada,,,,a,,
2025-11-17T22:33:14Z,3537,Canadian Intellectual Property Office,Office de la propriété intellectuelle du Canada,Canadian Intellectual Property Office,Office de la propriété intellectuelle du Canada,,,"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",,,,a,,
2025-11-17T22:33:14Z,3525,First Nations Tax Commission,Commission de la fiscalité des premières nations,First Nations Tax Commission,Commission de la fiscalité des premières nations,,,,,,,,,d,,
2025-11-17T22:33:14Z,3536,Canadian Heritage Information Network,Réseau canadien d'information sur le patrimoine,Canadian Heritage Information Network,Réseau canadien d'information sur le patrimoine,,,Canadian Heritage,Canadian Heritage,Patrimoine canadien,,,,a,,
2025-11-17T22:33:14Z,3535,Canadian Forces Housing Agency,Agence de logement des Forces canadiennes,Canadian Forces Housing Agency,Agence de logement des Forces canadiennes,,,National Defence,National Defence,Défense nationale,,,,a,,
2025-11-17T22:33:14Z,3534,Canadian Conservation Institute,Institut canadien de conservation,Canadian Conservation Institute,Institut canadien de conservation,,,Canadian Heritage,Canadian Heritage,Patrimoine canadien,,,,a,,
2025-11-17T22:33:14Z,3533,Canadian Coast Guard,Garde côtière canadienne,Canadian Coast Guard,Garde côtière canadienne,,,Fisheries and Oceans Canada,Fisheries and Oceans Canada,Pêches et Océans Canada,,,,a,,
2025-11-17T22:33:14Z,3532,"Vanier Institute of the Family, The",L'Institut Vanier de la famille,"Vanier Institute of the Family, The",L'Institut Vanier de la famille,,,,,,,,,t,,
2025-11-17T22:33:14Z,3531,Last Post Fund,Fonds du Souvenir,Last Post Fund,Fonds du Souvenir,,,,,,,,,t,,
2025-11-17T22:33:14Z,3528,PrioNet Canada,PrioNet Canada,PrioNet Canada,PrioNet Canada,,,,,,,,,d,,
2025-11-17T22:33:14Z,3527,International Centre for Human Rights and Democratic Development,Centre international des droits de la personne et du développement démocratique,International Centre for Human Rights and Democratic Development,Centre international des droits de la personne et du développement démocratique,,,,,,,,,d,,
2025-11-17T22:33:14Z,3526,Health Council of Canada,Conseil canadien de la santé,Health Council of Canada,Conseil canadien de la santé,,,,,,,,,d,,
2025-11-17T22:33:14Z,3606,Geomatics Canada,Géomatique Canada,Geomatics Canada,Géomatique Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3607,Indian Residential Schools Resolution Canada,Résolution des questions des pensionnats indiens Canada,Indian Residential Schools Resolution Canada,Résolution des questions des pensionnats indiens Canada,,,,,,,,,a,,
2025-11-17T22:33:14Z,3608,National Advisory Council on Aging,Conseil consultatif national sur le troisième âge,National Advisory Council on Aging,Conseil consultatif national sur le troisième âge,,,,,,,,,a,,
2025-11-17T22:33:14Z,3660,Ridley Terminals Inc.,Ridley Terminals Inc.,Ridley Terminals Inc.,Ridley Terminals Inc.,,,Transport Canada,Transport Canada,Transports Canada,,,,t,,
2025-11-17T22:33:14Z,3684,Canadian International Development Agency,Agence canadienne de développement international,Canadian International Development Agency,Agence canadienne de développement international,,,,,,,,,t,,
2025-11-17T22:33:14Z,3683,Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne,Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne,,,Department of Justice Canada,Department of Justice Canada,Ministère de la Justice Canada,,,,t,,
2025-11-17T22:33:14Z,3682,Canadian Cultural Property Export Review Board,Commission canadienne d'examen des exportations de biens culturels,Canadian Cultural Property Export Review Board,Commission canadienne d'examen des exportations de biens culturels,,,Canadian Heritage,Canadian Heritage,Patrimoine canadien,,,,t,,
2025-11-17T22:33:14Z,3681,Canadian Artists and Producers Professional Relations Tribunal,Tribunal canadien des relations professionnelles artistes-producteurs,Canadian Artists and Producers Professional Relations Tribunal,Tribunal canadien des relations professionnelles artistes-producteurs,,,,,,,,,t,,
2025-11-17T22:33:14Z,3680,Canada Industrial Relations Board,Conseil canadien des relations industrielles,Canada Industrial Relations Board,Conseil canadien des relations industrielles,,,Employment and Social Development Canada,Employment and Social Development Canada,Emploi et Développement social Canada,,,,t,,
2025-11-17T22:33:14Z,3679,Canada Agricultural Review Tribunal,Commission de révision agricole du Canada,Canada Agricultural Review Tribunal,Commission de révision agricole du Canada,,,Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,,,,t,,
2025-11-17T22:33:14Z,3676,Public Appointments Commission Secretariat,Secrétariat de la Commission des nominations publiques,Public Appointments Commission Secretariat,Secrétariat de la Commission des nominations publiques,,,,,,,,,d,,
2025-11-17T22:33:14Z,3675,National Round Table on the Environment and the Economy,Table ronde nationale sur l'environnement et l'économie,National Round Table on the Environment and the Economy,Table ronde nationale sur l'environnement et l'économie,,,,,,,,,d,,
2025-11-17T22:33:14Z,3674,Merchant Seamen Compensation Board,Commission d'indemnisation des marins marchands,Merchant Seamen Compensation Board,Commission d'indemnisation des marins marchands,,,,,,,,,d,,
2025-11-17T22:33:14Z,3673,Inuvialuit Arbitration Board,Commission d'arbitrage des Inuvialuit,Inuvialuit Arbitration Board,Commission d'arbitrage des Inuvialuit,,,,,,,,,d,,
2025-11-17T22:33:14Z,3672,Indian Residential Schools Truth and Reconciliation Commission,Commission de vérité et de réconciliation relative aux pensionnats indiens,Indian Residential Schools Truth and Reconciliation Commission,Commission de vérité et de réconciliation relative aux pensionnats indiens,,,,,,,,,d,,
2025-11-17T22:33:14Z,3671,Hazardous Materials Information Review Commission,Conseil de contrôle des renseignements relatifs aux matières dangereuses,Hazardous Materials Information Review Commission,Conseil de contrôle des renseignements relatifs aux matières dangereuses,,,,,,,,,d,,
2025-11-17T22:33:14Z,3670,Grain Appeal Tribunal,Tribunal d'appel pour les grains,Grain Appeal Tribunal,Tribunal d'appel pour les grains,,,,,,,,,d,,
2025-11-17T22:33:14Z,3669,First Nations Statistical Institute,Institut de la statistique des Premières nations,First Nations Statistical Institute,Institut de la statistique des Premières nations,,,,,,,,,d,,
2025-11-17T22:33:14Z,3668,Enterprise Cape Breton Corporation,Société d'expansion du Cap Breton,Enterprise Cape Breton Corporation,Société d'expansion du Cap Breton,,,,,,,,,d,,
2025-11-17T22:33:14Z,3667,Corporation for the Mitigation of Mackenzie Gas Project Impacts,Société d'atténuation des répercussions du projet gazier Mackenzie,Corporation for the Mitigation of Mackenzie Gas Project Impacts,Société d'atténuation des répercussions du projet gazier Mackenzie,,,,,,,,,d,,
2025-11-17T22:33:14Z,3666,Canada Employment Insurance Financing Board,Office de financement de l'assurance-emploi du Canada,Canada Employment Insurance Financing Board,Office de financement de l'assurance-emploi du Canada,,,,,,,,,d,,
2025-11-17T22:33:14Z,3665,Blue Water Bridge Authority,Administration du pont Blue Water,Blue Water Bridge Authority,Administration du pont Blue Water,,,,,,,,,d,,
2025-11-17T22:33:14Z,3664,Assisted Human Reproduction Agency of Canada,Agence canadienne de contrôle de la procréation assistée,Assisted Human Reproduction Agency of Canada,Agence canadienne de contrôle de la procréation assistée,,,,,,,,,d,,
2025-11-17T22:33:14Z,3663,Public Sector Pension Investment Board,Office d'investissement des régimes de pensions du secteur public,Public Sector Pension Investment Board,Office d'investissement des régimes de pensions du secteur public,,,Treasury Board of Canada Secretariat,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,,,,a,,
2025-11-17T22:33:14Z,3662,VIA Rail Canada Inc.,VIA Rail Canada inc.,VIA Rail Canada Inc.,VIA Rail Canada inc.,,,Transport Canada,Transport Canada,Transports Canada,,,3,a,VIA Rail Canada Inc.,VIA Rail Canada Inc.
2025-11-17T22:33:14Z,3685,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,,,,,,,,,t,,
2025-11-17T22:33:14Z,3686,Employment Insurance Boards of Referees,Conseils arbitraux de l'assurance-emploi,Employment Insurance Boards of Referees,Conseils arbitraux de l'assurance-emploi,,,,,,,,,t,,
2025-11-17T22:33:14Z,3687,Office of the Commissioner of Review Tribunals,Bureau du Commissaire des tribunaux de révision,Office of the Commissioner of Review Tribunals,Bureau du Commissaire des tribunaux de révision,,,,,,,,,t,,
2025-11-17T22:33:14Z,3700,The Halifax 2011 Canada Games Host Society,Société d'accueil des Jeux de 2011 de Halifax,The Halifax 2011 Canada Games Host Society,Société d'accueil des Jeux de 2011 de Halifax,,,,,,,,,d,,
2025-11-17T22:33:14Z,2222,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AAFC,AAC,1,a,Ministère de l'Agriculture et de l'Agroalimentaire,Department of Agriculture and Agri-Food
2025-11-17T22:33:14Z,,,,Office of the Information Commissioner,,,,,,,,,4,a,Commissariat à l'information au Canada,Office of the Information Commissioner
2025-11-17T22:33:14Z,3707,VIA HFR - VIA TGF Inc.,VIA HFR - VIA TGF Inc.,VIA HFR - VIA TGF Inc.,VIA HFR - VIA TGF Inc.,,,,,,,,,a,,
2025-11-17T22:33:14Z,3706,Miscarriage of Justice Review Commission,Commission d'examen des erreurs du système judiciaire,Miscarriage of Justice Review Commission,Commission d'examen des erreurs du système judiciaire,,,,,,,,1.1,a,Commission d'examen des erreurs du système judiciaire,Miscarriage of Justice Review Commission
2025-11-17T22:33:14Z,3705,Federal Public Sector Labour Relations and Employment Board,Commission des relations de travail et de l'emploi dans le secteur public fédéral,Federal Public Sector Labour Relations and Employment Board,Commission des relations de travail et de l'emploi dans le secteur public fédéral,,,,,,,,,a,,
2025-11-17T22:33:14Z,3704,Treasury Board,Conseil du Trésor,Treasury Board,Conseil du Trésor,,,,,,TB,CT,1,a,Conseil du Trésor,Treasury Board
2025-11-17T22:33:14Z,3703,Canada Water Agency,Agence de l'eau du Canada,Canada Water Agency,Agence canadienne de l'eau,Canada Water Agency,Agence de l'eau du Canada,,,,CWA,AEC,1.1,a,Agence canadienne de l'eau,Canada Water Agency
2025-11-17T22:33:14Z,3702,2010 Games Operating Trust Society,Société du legs des Jeux de 2010,2010 Games Operating Trust Society,Société du legs des Jeux de 2010,,,,,,,,,a,,
2025-11-17T22:33:14Z,3701,Prince George 2015 Canada Winter Games Host Society,Société hôtesse des Jeux d'hiver du Canada Prince George 2015,Prince George 2015 Canada Winter Games Host Society,Société hôtesse des Jeux d'hiver du Canada Prince George 2015,,,,,,,,,a,,
2025-11-17T22:33:14Z,3698,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,Comité d'organisation des Jeux olympiques et paralympiques d'hiver de 2010 à Vancouver,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,Comité d'organisation des Jeux olympiques et paralympiques d'hiver de 2010 à Vancouver,,,,,,,,,d,,
